date,sneakers,running shoes,basketball shoes,sportswear,streetwear,athleisure
2024-09-01,25,9,2,1,1,0
2024-09-08,22,9,2,1,0,0
2024-09-15,25,10,2,1,0,0
2024-09-22,30,12,2,1,1,0
2024-09-29,30,13,2,1,1,0
2024-10-06,27,12,2,1,1,0
2024-10-13,25,11,2,1,0,0
2024-10-20,26,10,1,1,1,0
2024-10-27,29,11,2,1,0,100
2024-11-03,25,10,1,1,1,0
2024-11-10,27,11,2,1,1,0
2024-11-17,26,11,1,1,1,0
2024-11-24,25,12,1,1,1,0
2024-12-01,29,12,2,1,1,0
2024-12-08,29,11,1,1,1,0
2024-12-15,26,11,1,1,1,0
2024-12-22,28,11,1,1,0,0
2024-12-29,29,13,1,1,1,0
2025-01-05,30,12,1,1,1,0
2025-01-12,29,12,2,1,1,0
2025-01-19,27,11,1,1,1,0
2025-01-26,28,12,1,1,1,0
2025-02-02,27,11,1,1,1,0
2025-02-09,25,10,2,1,1,0
2025-02-16,24,10,2,1,1,78
2025-02-23,42,9,1,1,1,0
2025-03-02,79,10,2,1,1,65
2025-03-09,79,10,1,1,1,0
2025-03-16,100,11,2,1,1,0
2025-03-23,26,9,1,1,1,0
2025-03-30,27,10,2,1,0,0
2025-04-06,23,10,1,1,1,0
2025-04-13,26,10,2,1,0,0
2025-04-20,23,9,1,1,0,0
2025-04-27,26,11,2,1,1,58
2025-05-04,25,11,2,1,0,0
2025-05-11,24,11,2,1,1,0
2025-05-18,22,9,2,1,1,0
2025-05-25,24,10,2,1,0,0
2025-06-01,26,10,2,1,1,0
2025-06-08,24,10,2,1,1,0
2025-06-15,21,9,2,1,1,0
2025-06-22,21,10,2,1,1,61
2025-06-29,23,10,2,1,1,87
2025-07-06,23,10,2,1,1,0
2025-07-13,24,11,2,1,1,58
2025-07-20,23,10,2,1,1,0
2025-07-27,26,12,2,1,1,71
2025-08-03,28,11,2,1,1,0
2025-08-10,27,11,2,1,1,63
2025-08-17,24,10,2,1,1,22
2025-08-24,24,10,2,1,1,36
2025-08-31,25,10,2,1,1,48
