video_id,title,description,channel,published_at
fP4tKcungJA,Nike Alphafly 3 🏃‍♂️#nikealphafly #alphafly3 #alphafly #running #sneakers #sports #shoes #run #shoe,nike #nikealphafly #running #shoes #nikefootball #nikeshoes #vapormax #alpha3 #prototype #sneaker #sneakers #women ...,Go Run,2025-03-06T08:59:25Z
WCb5hJRfMG8,Adidas Sambas Alternative in 1500 ? 😱,,THE SHOE UNBOXER,2025-04-27T06:30:52Z
I-xfiu_fqOM,Jordan 1 High Hater Sneakerhead!🤢👟  #shoereseller #sneakers #sneakertalk #sneakerhead #nike,Check out this video if you're a sneakerhead! We're diving into the Jordan 1 High Hater and discussing all things sneakers.,Sneaker Pick,2024-12-30T10:40:00Z
inCNjAzi5Xw,Real Vs Fake University Blue Jordan 1 #sneakerhead #sneakers #viral,Foot Candy Sneakerhead Community Channel Sneaker Website Link - https://www.footcandysnkrs.com/ (Discount Code ...,Foot Candy 👟🍭,2023-05-11T10:49:48Z
VpdDnAUKtPM,New Nike Store📍Mumbai 👀 Air Jordan 1 Low &#39;Mocha&#39; on retail 🔥 #newnikestoremumbai #oberoiskycitymall,"Just visited the brand new Nike Store at Oberoi Sky City Mall, Borivali and couldn't believe my luck! I managed to cop the Air ...",Smart Kicks,2025-06-16T15:00:25Z
-EkUJGYfaI8,FAKE ❌  PUMA SHOES RECIEVED FROM AJIO 👟 😱| #shorts,Product link:- https://ajio.page.link/eE3TbjDd2V6ZKY9X8.,Susmitha Nikhil,2023-04-27T11:46:12Z
hYI24x5hX48,Nike air shoes | gets mad #sneakers #nikerunning #nikeair #nikefootball #sneakers,,Shoes Alpha Geek,2024-03-11T08:05:05Z
7y5M6eE7PyY,Sneakers Collections | Veraity Of Collections| Kalifa Showroom | Triplicane | Chennai.,"Visit Us Today or DM for orders: Our shop: Address - 46 Bharathi Salai ( Pycrofts Rd ) Triplicane, Chennai - 600005. Rahman ...",RAHMAN PLAZA,2025-08-07T10:26:23Z
EFoMW2lUwXQ,"9840448526 - SK Shoes 📥 Periamet - Chennai .Shop location. Kattor Sadayapan Street,Periamet, Chennai",,s.k shoes periamet,2025-09-01T05:20:44Z
kTA3e4_b34I,Adidas Fluo M Running Shoes Black,,Dhruv Kumar,2023-03-19T14:43:53Z
aWsmWqAFSLs,AIR JORDAN 1 DIORS For....😱😱😱😱,,The Sneaker Guy,2023-07-21T15:00:01Z
E_dZ8wS87II,one of the best collection in Chennai shoes,,Mohan Mohan,2023-03-19T15:43:13Z
K84Kr4kcAjA,$12 Nike Jordans In India 🇮🇳 #shorts,Join my free travel content creator community helping people accelerate their growth and meet people on their journey to ...,Harry Jaggard,2023-03-10T12:30:09Z
67xtibBUQ3A,◇Woodland shoes unbelievable price just 1999rs at CLUB365DAYS  Size from 6 to 11,,club365days_menswear,2024-11-19T13:19:45Z
mNTr2rqh_H4,Skechers 💯% original  staff 55% discount  on MRP at club  365 days at Periamet #skechersperformance,,club365days_menswear,2024-11-24T14:10:28Z
RO6GjivgsCo,White sneaker 👟 just 300 🫨 | budget series,mensfashion #myntrashirt #fashion #myntrabeauty #duskyskintone #menswear #whitesneakers #shoes.,Merson Raja ,2025-07-03T13:18:50Z
IrB0Pl3ctB0,Cheapest Item At NIKE STORE!!,,Kiran Kumar,2024-02-12T04:45:42Z
P7_5qEg-ZXI,Converse HATER!🤢👟  #shoereseller #sneakers #thesneakerprincipal #nike #sneakertalk #sneakerhead,"Are you a Converse HATER? Watch this video for all the sneaker talk you need! From Nike to reselling, we cover it all.",Sneaker Pick,2025-01-12T10:40:00Z
iSZWnBMOMHI,Best Red Tape Sneakers 🔥 Links in Channel About ✨ #sneakers #shoes,,TALIB Styling,2025-03-25T05:55:16Z
fSqCIqxCKYc,Neeman&#39;s Everyday basic sneakers || powder white #neeman #shoes #ecoshoes #karansri #shoe #chennai,,Karan Sri,2023-05-25T06:12:51Z
_WphiOEl2XA,"9840448526 - SK Shoes 📥 Periamet - Chennai .Shop location. Kattor Sadayapan Street,Periamet, Chennai",,s.k shoes periamet,2025-08-23T10:40:52Z
4500oC_l8Ls,RedTape White Sneakers 👟 from Myntra #shorts #shoes #whitesneakers,Buy link Hey! Here's my HaulPack. Check it out for all of my product recommendations! https://www.haulpack.com/c/raffu786 #best ...,RAFIQUE SAYYED,2024-07-04T15:30:00Z
8rYv8X2z9OI,WOMEN’S WALKING SHOES COLLECTION | full video on youtube |#shorts #tamilshorts #1wayshoes #chennai,"Please watch: ""eeken brand the most comfortable slippers ever https://www.youtube.com/watch?v=czxorFqjVFo -~-~~-~~~-~~-~-",1 Way Shoes,2022-11-22T17:59:13Z
